time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.setpoint
2020/11/26/18:34:21.474863,128,1606412061,474598884,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.494807,129,1606412061,494558095,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.514884,130,1606412061,514633893,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.534858,131,1606412061,534584999,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.554971,132,1606412061,554578065,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.574888,133,1606412061,574654102,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.594874,134,1606412061,594578981,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.614996,135,1606412061,614576101,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.634948,136,1606412061,634654998,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.654860,137,1606412061,654592037,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.674924,138,1606412061,674643993,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.694987,139,1606412061,694632053,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.714902,140,1606412061,714606046,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.734937,141,1606412061,734601974,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.754998,142,1606412061,754616022,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.777247,143,1606412061,777075052,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.794767,144,1606412061,794567108,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.815145,145,1606412061,814758062,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.834794,146,1606412061,834566116,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.855030,147,1606412061,854589939,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.874859,148,1606412061,874602079,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.895183,149,1606412061,894810914,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.915057,150,1606412061,914628982,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.934949,151,1606412061,934675931,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.954957,152,1606412061,954605102,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.974956,153,1606412061,974575042,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2020/11/26/18:34:21.994852,154,1606412061,994556903,,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
